A0002500,R0000100,R0214700,R0214800,R0828000,R0945300,R1255700,R1650500,R1923100,R2317900,R2525700,R2924700,R3127400,R3523100,R3728100,R4193700,R4587901,R5270900,R6473700,R6592900
VERSION_R25_2012,CASEID_1979,SAMPLE_RACE_78SCRN,SAMPLE_SEX_1979,CPSOCC80_1982,CPSOCC80_1983,CPSOCC80_1984,CPSOCC80_1985,CPSOCC80_1986,CPSOCC80_1987,CPSOCC80_1988,CPSOCC80_1989,CPSOCC80_1990,CPSOCC80_1991,CPSOCC80_1992,CPSOCC80_1993,CPSOCC80_1994,CPSOCC80_1996,CPSOCC80_1998,CPSOCC80_01_2000
445,2963,3,1,-4,347,7,433,435,435,435,435,435,436,-4,435,435,185,185,185
445,2964,3,2,19,19,274,389,337,19,19,339,344,19,37,19,19,19,19,19
445,2965,1,1,274,869,-4,-4,-4,-4,805,805,805,804,-4,-4,-4,-5,779,804
445,2966,1,1,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,2967,1,1,274,274,805,805,877,804,23,337,670,316,316,-4,254,19,376,-5
445,2968,1,1,274,-5,-4,-4,277,805,277,365,869,486,599,889,889,804,804,804
445,2969,1,2,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,407,-4,329,357,-5
445,2970,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
445,2971,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
445,2972,3,1,566,566,526,566,566,19,547,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,2973,3,1,569,889,359,883,805,-4,843,-5,-5,-5,809,809,737,737,599,-5
445,2974,3,1,444,437,869,785,558,558,785,518,19,633,558,19,633,19,779,779
445,2975,3,1,387,189,365,877,365,417,359,228,359,228,359,359,453,359,228,228
445,2976,3,1,199,869,355,356,354,355,354,354,355,354,883,354,354,354,549,549
445,2977,3,1,435,453,889,19,567,869,869,869,558,869,869,579,579,575,558,558
445,2978,3,2,19,389,389,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,435,407
445,2979,3,2,378,378,378,386,378,458,458,458,458,458,-4,-4,-4,-4,-4,-4
445,2980,3,1,143,153,153,143,143,143,143,143,154,154,143,143,154,154,183,154
445,2981,3,1,459,459,355,877,385,337,376,253,337,337,389,25,25,389,636,364
445,2982,3,1,365,308,308,229,229,229,64,64,-5,-5,19,-5,-5,-5,-5,19
445,2983,3,2,-4,405,276,-4,313,313,389,256,339,256,257,277,277,313,319,319
445,2984,3,1,217,389,55,225,225,59,59,19,19,59,19,59,19,57,53,19
445,2985,3,1,276,424,318,389,198,198,-4,308,308,64,65,229,64,15,55,64
